Licences:
Apache-2.0
BSD-3-Clause
MIT
MPL-2.0
Unknown

Packages:
github.com/apapsch/go-jsonmerge/v2; MIT
github.com/fsnotify/fsnotify; BSD-3-Clause
github.com/go-viper/mapstructure/v2; MIT
github.com/golang/go; BSD-3-Clause
github.com/google/uuid; BSD-3-Clause
github.com/hashicorp/go-cleanhttp; MPL-2.0
github.com/hashicorp/go-retryablehttp; MPL-2.0
github.com/knadh/koanf/maps; MIT
github.com/knadh/koanf/parsers/yaml; MIT
github.com/knadh/koanf/providers/env/v2; MIT
github.com/knadh/koanf/providers/file; MIT
github.com/knadh/koanf/v2; MIT
github.com/mitchellh/copystructure; MIT
github.com/mitchellh/reflectwalk; MIT
github.com/oapi-codegen/runtime; Apache-2.0
github.com/ovh/okms-sdk-go; Apache-2.0
github.com/ovh/opentofu-kms-ovhcloud/cmd/opentofu-kms-ovhcloud; Unknown. See go/github.com/ovh/opentofu-kms-ovhcloud/cmd/opentofu-kms-ovhcloud/LICENSE file
github.com/ovh/opentofu-kms-ovhcloud; Unknown. See go/github.com/ovh/opentofu-kms-ovhcloud/LICENSE file
go.yaml.in/yaml/v3; Apache-2.0
golang.org/x/crypto; BSD-3-Clause
golang.org/x/sys; BSD-3-Clause
